Company Name,Laptop Name,RAM (GB),Storage Type,Storage Size (GB),Processor Company,Processor Details,Graphics Card (GB),GPU Details,Weight (kg),Screen Size (inches),OS,Laptop Type,Price (INR),,,,,,,,,,,,,
Dell,Inspiron 14 5482,8,SSD,256,Intel,8th Gen i7,Integrated,Intel UHD Graphics,1.7,14,Windows,Convertible,88400,,,,,,,,,,,,,
Dell,Inspiron 13 7391,8,SSD,512,Intel,10th Gen i5,Integrated,Intel UHD Graphics,1.4,13.3,Windows,Convertible,94990,,,,,,,,,,,,,
MSI,GS73VR 7RG,16,SSD + HDD,256+2048,Intel,7th Gen i7,8,NVIDIA GeForce GTX 1070,2.43,17.3,Windows,Gaming,212000,,,,,,,,,,,,,
MSI,GL72M 7RDX,8,SSD + HDD,128+1024,Intel,7th Gen i5,2,NVIDIA GeForce GTX 1050,2.7,17.3,Windows,Gaming,95200,,,,,,,,,,,,,
MSI,GP62M 7REX,16,SSD + HDD,256+1024,Intel,7th Gen i7,4,NVIDIA GeForce GTX 1050 Ti,2.2,15.6,Windows,Gaming,113000,,,,,,,,,,,,,
MSI,GS63VR 7RG,16,SSD + HDD,256+2048,Intel,7th Gen i7,8,NVIDIA GeForce GTX 1070,1.8,15.6,Windows,Gaming,195000,,,,,,,,,,,,,
MSI,GE72MVR 7RG,16,SSD + HDD,256+1024,Intel,7th Gen i7,8,NVIDIA GeForce GTX 1070,2.9,17.3,Windows,Gaming,176500,,,,,,,,,,,,,
MSI,GE73VR 7RE,16,SSD + HDD,256+1024,Intel,7th Gen i7,6,NVIDIA GeForce GTX 1060,2.8,17.3,Windows,Gaming,164499,,,,,,,,,,,,,
MSI,GE63VR 7RE,16,SSD + HDD,256+1024,Intel,7th Gen i7,6,NVIDIA GeForce GTX 1060,2.4,15.6,Windows,Gaming,156499,,,,,,,,,,,,,
MSI,GT80S 6QF-074US,32,SSD + HDD,512+1024,Intel,6th Gen i7,8,NVIDIA GTX 980 SLI,4.4,18.4,Windows,Gaming,243499,,,,,,,,,,,,,
MSI,GT73EVR 7RE,16,SSD + HDD,512+1024,Intel,7th Gen i7,8,NVIDIA GeForce GTX 1070,4.14,17.3,Windows,Gaming,217400,,,,,,,,,,,,,
MSI,GE63VR 7RF,16,SSD + HDD,256+1024,Intel,7th Gen i7,8,NVIDIA GeForce GTX 1070,2.8,15.6,Windows,Gaming,182500,,,,,,,,,,,,,
MSI,GL72M 7REX,8,SSD + HDD,256+1024,Intel,7th Gen i7,4,NVIDIA GeForce GTX 1050 Ti,2.7,17.3,Windows,Gaming,104000,,,,,,,,,,,,,
MSI,GP72MVR 7RFX,8,SSD + HDD,128+1024,Intel,7th Gen i7,3,NVIDIA GeForce GTX 1060,2.7,17.3,Windows,Gaming,122500,,,,,,,,,,,,,
MSI,Leopard GP72M,8,SSD,256,Intel,7th Gen i7,4,NVIDIA GeForce GTX 1050 Ti,2.7,17.3,Windows,Gaming,117300,,,,,,,,,,,,,
